IDENTIFIER,LAT,LON,ALTITUDE,IS_AIRPORT
DM460_FL000,48.1293,11.57439,0.0,0
DM461_FL000,48.16814,12.08047,0.0,0
DM531_FL000,48.35819,11.70796,0.0,0
DM532_FL000,48.394744,11.692558,0.0,0
DM541_FL000,48.3395,11.7358,0.0,0
DM542_FL000,48.259547,11.707733,0.0,0
DM551_FL000,48.36862,11.84387,0.0,0
DM552_FL000,48.455386,11.851942,0.0,0
DM561_FL000,48.35332,11.9166,0.0,0
DM562_FL000,48.277197,11.878011,0.0,0
DMN01_FL000,48.362931,11.76965,0.0,0
DMN02_FL000,48.36995,11.843824,0.0,0
DMN11_FL000,48.366281,11.819081,0.0,0
DMN18_FL000,48.368331,11.841431,0.0,0
DMN19_FL000,48.368511,11.8439,0.0,0
DMN21_FL000,48.368661,11.846419,0.0,0
DMN35_FL000,48.3577,11.7078,0.0,0
DMS01_FL000,48.340819,11.753131,0.0,0
DMS11_FL000,48.344639,11.802581,0.0,0
DMS14_FL000,48.306457,11.432085,0.0,0
DMS26_FL000,48.338306,11.719992,0.0,0
DMS31_FL000,48.336785,11.700949,0.0,0
DMS83_FL000,48.346932,11.842493,0.0,0
DODIL_FL000,48.7325,10.573611,0.0,0
DOMAL_FL000,49.094556,13.428611,0.0,0
DONAX_FL000,48.740333,9.7575,0.0,0
DONIX_FL000,48.693333,10.7545,0.0,0
DS011_FL000,48.665653,9.509697,0.0,0
DS020_FL000,48.913056,9.34,0.0,0
DS021_FL000,48.781564,9.499214,0.0,0
DS026_FL000,48.711289,9.335042,0.0,0
DS030_FL000,48.711289,9.335042,0.0,0
DS031_FL000,48.722136,9.392306,0.0,0
DS032_FL000,48.741569,9.495042,0.0,0
DS033_FL000,48.688225,9.400392,0.0,0
DS034_FL000,48.644128,9.367722,0.0,0
DS035_FL000,48.748028,9.529739,0.0,0
DS036_FL000,48.711914,9.338281,0.0,0
DS037_FL000,48.688192,9.340656,0.0,0
DS038_FL000,48.784686,9.434644,0.0,0
DS410_FL000,48.64194,9.367278,0.0,0
DS425_FL000,48.785531,9.435036,0.0,0
DS426_FL000,48.671506,9.664583,0.0,0
DS427_FL000,48.545231,9.437194,0.0,0
DS435_FL000,48.671667,9.665,0.0,0
DS436_FL000,48.437158,9.372361,0.0,0
DS511_FL000,48.815786,9.523808,0.0,0
DS512_FL000,48.751719,9.551086,0.0,0
DS513_FL000,48.769744,9.648133,0.0,0
DS514_FL000,48.787675,9.745211,0.0,0
DS515_FL000,48.814408,9.89095,0.0,0
DS517_FL000,48.67077,9.451389,0.0,0
DS520_FL000,48.446194,9.432583,0.0,0
DS522_FL000,48.687647,9.578275,0.0,0
DS523_FL000,48.705572,9.675236,0.0,0
DS524_FL000,48.723492,9.772189,0.0,0
DS525_FL000,48.750025,9.917819,0.0,0
DS526_FL000,48.686783,9.573628,0.0,0
DS531_FL000,48.810025,9.404478,0.0,0
DS532_FL000,48.831208,9.518092,0.0,0
DS533_FL000,48.849164,9.615181,0.0,0
DS534_FL000,48.867047,9.712439,0.0,0
DS535_FL000,48.89375,9.858436,0.0,0
DS542_FL000,48.623547,9.605361,0.0,0
DS543_FL000,48.64145,9.702203,0.0,0
DS544_FL000,48.659344,9.799036,0.0,0
DS545_FL000,48.674511,9.882322,0.0,0
DS625_FL000,48.72847,9.426697,0.0,0
DS725_FL000,48.712275,9.340486,0.0,0
EBEDA_FL000,48.160278,12.126944,0.0,0
EBEVO_FL000,48.145,12.018333,0.0,0
ELKAT_FL000,46.991,13.90551,0.0,0
ELMUG_FL000,48.151669,12.34,0.0,0
ELSIS_FL000,46.758761,15.611408,0.0,0
ELVAG_FL000,48.951667,10.246389,0.0,0
ENOGO_FL000,46.813333,11.061944,0.0,0
ERKIR_FL000,47.537778,12.008889,0.0,0
ERNAS_FL000,48.844722,11.219444,0.0,0
ESEGA_FL000,48.296444,13.181469,0.0,0
ESISO_FL000,47.792778,9.859722,0.0,0
ETAGO_FL000,48.727501,9.46,0.0,0
ETOXU_FL000,47.725833,9.550556,0.0,0
EUR29_FL000,48.165675,11.592104,0.0,0
EVAXI_FL000,47.777856,17.100553,0.0,0
EVIVA_FL000,48.6675,11.703056,0.0,0
FHA01_FL000,47.7079,9.472238,0.0,0
FHA28_FL000,47.692692,9.566028,0.0,0
FHA35_FL000,47.639747,9.431856,0.0,0
FHA52_FL000,47.625411,9.395575,0.0,0
FHA69_FL000,47.728672,9.732926,0.0,0
FHA81_FL000,47.700463,9.745671,0.0,0
FHA89_FL000,47.743772,9.696694,0.0,0
FHA98_FL000,47.760561,9.739642,0.0,0
FRE45_FL000,48.426756,15.255969,0.0,0
FUSSE_FL000,47.574289,10.429847,0.0,0
GAMLI_FL000,47.90667,14.77889,0.0,0
GASNA_FL000,47.404444,12.189722,0.0,0
GESGI_FL000,47.921956,16.954058,0.0,0
GILIN_FL000,46.491933,13.702428,0.0,0
GIMBO_FL000,48.725364,14.775831,0.0,0
GIMIX_FL000,46.523056,13.714167,0.0,0
GIMOS_FL000,46.83711,10.728362,0.0,0
GIRIS_FL000,46.771667,10.884167,0.0,0
GISPO_FL000,48.098797,16.129533,0.0,0
GIVMI_FL000,48.701111,11.364722,0.0,0
GOGEM_FL000,47.018333,11.526389,0.0,0
GOLVA_FL000,46.707924,15.651445,0.0,0
GONBA_FL000,48.687778,13.075833,0.0,0
GORLA_FL000,47.954333,10.507333,0.0,0
GOTAR_FL000,46.997881,16.224764,0.0,0
GRZ40_FL000,47.493357,14.871189,0.0,0
GRZNB_FL000,46.920656,15.458953,0.0,0
GUDEG_FL000,48.387431,12.093969,0.0,0
GUPIN_FL000,48.8825,9.748056,0.0,0
HAMAG_FL000,48.220083,13.854144,0.0,0
IBIRU_FL000,48.623017,9.280289,0.0,0
IBZ04_FL000,46.3859,11.296049,0.0,0
IBZ07_FL000,46.3311,11.271649,0.0,0
IBZ10_FL000,46.283298,11.249649,0.0,0
IGL08_FL000,48.765364,11.759472,0.0,0
IGL50_FL000,48.828676,11.818884,0.0,0
IGLNB_FL000,48.737833,11.644667,0.0,0
