V0,V1,D
DITIS_FL000,CESKE_FL000,44241.269
DIVAL_FL000,NIGSI_FL000,21817.271
DIVAL_FL000,WW902_FL000,28172.251
DIVAL_FL000,PUBEG_FL000,35442.730
DIVAL_FL000,STEIN_FL000,38054.731
DIVAL_FL000,SASAL_FL000,39693.529
DIVAL_FL000,WW976_FL000,40091.625
DM010_FL000,MBG03_FL000,254.208
DM010_FL000,DM428_FL000,10028.698
DM010_FL000,DM427_FL000,16129.697
DM011_FL000,MBG11_FL000,126.706
DM011_FL000,GUDEG_FL000,4764.471
DM011_FL000,DM428_FL000,9208.775
DM014_FL000,DM531_FL000,0.316
DM014_FL000,DMN35_FL000,55.708
DM014_FL000,DM067_FL000,152.606
DM015_FL000,DMN35_FL000,174.496
DM015_FL000,DM060_FL000,1044.663
DM015_FL000,DMS31_FL000,2382.330
DM020_FL000,MUN17_FL000,526.010
DM020_FL000,DM068_FL000,3652.234
DM020_FL000,MILLDORF_FL000,7007.724
DM021_FL000,MDF11_FL000,257.710
DM021_FL000,GUDEG_FL000,4175.118
DM021_FL000,MBG11_FL000,5159.109
DM021_FL000,DM448_FL000,7119.689
DM024_FL000,DM541_FL000,0.222
DM024_FL000,MSE34_FL000,115.956
DM025_FL000,MUN40_FL000,7393.373
DM025_FL000,DM454_FL000,9270.811
DM025_FL000,DM455_FL000,9617.893
DM025_FL000,EUR29_FL000,16691.121
DM026_FL000,DMS26_FL000,440.130
DM026_FL000,DM541_FL000,738.291
DM030_FL000,DM421_FL000,3259.382
DM030_FL000,DM063_FL000,4929.786
DM030_FL000,DM055_FL000,5142.831
DM030_FL000,VEMUG_FL000,13449.459
DM031_FL000,WLD18_FL000,286.099
DM031_FL000,MSE14_FL000,3514.507
DM031_FL000,DM036_FL000,3692.213
DM031_FL000,DM421_FL000,9879.420
DM032_FL000,MAGAT_FL000,182.484
DM032_FL000,DM443_FL000,7849.949
DM033_FL000,MNE32_FL000,78.089
DM033_FL000,DM067_FL000,3332.074
DM034_FL000,DM551_FL000,0.314
DM034_FL000,DMN02_FL000,147.701
DM035_FL000,MIKE_FL000,2741.211
DM035_FL000,DM064_FL000,6790.482
DM035_FL000,MIQ23_FL000,6853.017
DM035_FL000,LASMI_FL000,6891.399
DM036_FL000,DM053_FL000,1953.009
DM036_FL000,DM058_FL000,2297.136
DM036_FL000,DM431_FL000,3593.889
DM040_FL000,MUN18_FL000,268.963
DM040_FL000,OBI07_FL000,1772.244
DM041_FL000,MAH06_FL000,100.607
DM041_FL000,DMS14_FL000,1063.869
DM044_FL000,DM561_FL000,0.556
DM044_FL000,DM080_FL000,825.630
DM044_FL000,MNW01_FL000,2284.391
DM049_FL000,DMS31_FL000,630.498
DM049_FL000,DMS26_FL000,787.210
DM049_FL000,DMN35_FL000,2254.881
DM050_FL000,DM542_FL000,3116.087
DM050_FL000,DMS31_FL000,5497.322
DM050_FL000,DM051_FL000,6548.783
DM051_FL000,DM052_FL000,1696.896
DM051_FL000,DM066_FL000,2422.484
DM051_FL000,DMS31_FL000,3578.926
DM052_FL000,DM443_FL000,2063.164
DM052_FL000,DM433_FL000,2323.848
DM053_FL000,MSE14_FL000,1300.267
DM053_FL000,DM058_FL000,2683.600
DM054_FL000,MSE20_FL000,2438.114
DM054_FL000,DM062_FL000,2873.362
DM055_FL000,DM063_FL000,3757.086
DM055_FL000,DM422_FL000,5988.421
DM055_FL000,WLD18_FL000,8539.277
DM056_FL000,DM064_FL000,343.203
DM056_FL000,OLETU_FL000,2865.864
DM056_FL000,DM411_FL000,9855.196
DM057_FL000,DM065_FL000,0.000
DM057_FL000,MBG12_FL000,2501.927
DM057_FL000,DM427_FL000,8500.759
DM058_FL000,DM431_FL000,2853.218
DM058_FL000,DM441_FL000,3447.762
DM058_FL000,DM059_FL000,6255.125
DM059_FL000,DM451_FL000,3654.329
DM059_FL000,MAH46_FL000,4135.652
DM059_FL000,MAISACH_FL000,4525.311
DM059_FL000,DM441_FL000,6444.280
DM059_FL000,DMS14_FL000,7092.900
DM060_FL000,MUNCHEN_FL000,1266.907
